yorum,hiz,servis,lezzet,Label
Süleyman ustam her daim candır.,9,9,9,pozitif
Çok lezzetliydi tesskkurker.,10,10,10,pozitif
Yufka sarmasi yanik gelmisti.,9,9,8,pozitif
Tavuk eti iyi pişmeli.,10,8,3,pozitif
Künefeler yanık ve şerbetsizdi. Sanırım ilk ve son siparişim.,1,1,1,negatif
"Öğlenden beri pişmiş lapa bulgur ve 1, 5 porsiyon ile 1 porsiyon arasındaki tek fark daha fazla özensizlik..",7,1,1,negatif
İyi...,9,9,8,pozitif
Guzel.,9,9,8,pozitif
Her şey harika. Beklediğimden daha güzel. Nacizane tavsiyem bulgur pilavında tuz ve salça biraz fazla olabilir.,10,10,10,pozitif
Eline sağlık süleyman ustam herşey harikaydı.,10,10,10,pozitif
Etler çiğ gibiydi.,8,4,1,nötr
Keşke pirinç pilavi olsa.. Lutfen görün bu isteğimizi :).,9,9,9,pozitif
Ellerinize sağlık.,10,10,10,pozitif
Soğanlı siparişlerde soğan nedense ağır geldi normalde iyi ama.,9,9,8,pozitif
Süleyman ustam her daim candır.,9,9,9,pozitif
Trileçe şahaneydi fakat profiterol epey bayattı yiyemedik ne yazık ki. Yine detr ileçenin hatırına fazla puan kırmıyorum.,10,10,7,pozitif
"Lezzetiniz çok başarılı ve çok kibarsınız :) tatlı olarak sizdeyim bundan sonra, tüm çalışanlarınıza kolay gelsin.",10,10,10,pozitif
Super.,10,10,10,pozitif
Cikolatali ekler malzeme miktari ve lezzet olarak basarili.,10,10,10,pozitif
Muhteşem.,10,10,10,pozitif
Harika bir lezzet herkese tavsiye ederim hızlı ve temiz bir yerdir gonul rahatliyca sipariş vere bilirsiniz elit profetirol çalışanlarına teşekkürlerimi sunarım iyi çalışmalar diliyorum.,10,10,10,pozitif
"Ekler istedim profiterol gönderilmis. Siparisim yanlıs geldi, hava yagmurlu olduğu icin tekrar yormak istemedim. Umarım bir daha yasanmaz.",9,1,9,nötr
Mükemmel taze çok lezzetli.,10,10,10,pozitif
Tatlılar harikaydı teşekkür ederiz.,10,10,10,pozitif
Altı üstü profiterol ve ekleri kaba koyup getirceksiniz 1 saati geçti getirilmesi. Peynir helvası diye sattığınız şeyi direk çöpe attık. Çanakkaleye gidip her hangi bir yerde yediğinizde o sattığınız şeye peynir helvası yazmaya utanırsınız. Eklerle taze değildi. Ben bir daha sipariş vermem.,1,7,5,nötr
Superb.,9,9,9,pozitif
"Hızlı servis taze ve lezzetli ürünler. Minik sürpriziniz için de teşekkürler, çok zarifsiniz.",10,10,10,pozitif
"Hızlı, taze, leziz. Ve müşterilerine verdikleri değer sunumlarından anlaşılıyor. Hem tebessüm ettim, hem keyifle tükettim. Teşekkürler!",10,10,10,pozitif
Profiterol cok kötüydü içindenki krema ekşiydi şu hamuru asırı yumusaktı çikolata ise acımtıraktı hiç beğenmedik.,6,6,2,nötr
Bugün kek kısmı taze değildi.,9,9,5,pozitif
Kuryeniz emrah a tesekkurler.,9,9,8,pozitif
"Profiterolünü yemeyen ölsün, yada ölmeden yemeyi unutmayın belki cennete gidersiniz, yada yemeyin boş verin hepsi bana kalsın...",10,10,10,pozitif
Trilece her zamanki gibi harikaydi.,10,10,10,pozitif
"Çiziminiz için çok teşekkür ederiz, tebessüm ettirdiniz :).",10,10,10,pozitif
Kusursuzdu. Cok tesekkurler.,10,10,10,pozitif
Süper.,10,10,10,pozitif
Siparişin yanındaki hediyeniz için çok teşekkür ederiz eklerinizinde tadı harikaydı. Ayrıca çocukluğumun vazgeçilmez çizgi filmi pokemonun en sevdiğim pokemonları pikachu ve raichuyu çok güzel çizmişsiniz. Saklıyorum..,10,10,10,pozitif
Yarım saate geldi güzeldi teşekkürler.,10,10,9,pozitif
Muhteşem lezzet profiterol sevenlere tavsiye ederim.,9,10,10,pozitif
Ailecek seviyoruz.,10,10,10,pozitif
Güzel notunuz teşekkür ederim. Ustanın ellerine sağlık:).,10,10,10,pozitif
İlk defa sipariş verdim müthiş lezzetliydi bayıldım.,10,10,10,pozitif
"Hizi, servisi ve lezzeti. Evde dort kisi kafa kafaya verdik 10dan yuksek puan nasil verebiliriz diye kafa yoruyoruz :). Tek kelime ile harika. Cok tesekkurler.",10,10,10,pozitif
Bebeğim uyuyor dediğim diye çok hassas davrandılar ve gönderdikleri not da çok hoştu.. Oğlumun elinden düşmedi uzun bir süre :) getiren bey de çok güleryüzlü ve kibardı.. Hem profiterol hem de ekler çok çok tazeydi.. Hep böyle kaliteli kalmaları dileğiyle..,10,10,10,pozitif
Guzel.,9,9,9,pozitif
"Hızlı servis, güler yüzlü kurye.",10,10,10,pozitif
Çok lezzetli teşekkürler.,10,10,10,pozitif
Mükemmel.,10,10,10,pozitif
Yazmış olduğum yorumu dikkate almaları ve nezaketleri... Çok teşekkürler! Çiçekli notunuza da bayıldım :) ilk kez denedik ve çok memnun kaldık.,10,10,10,pozitif
"Gayet memnun kaldım, siparişin gecikmesini telafi şekliniz de gayet hoştu lakin bu siparişimin geç geldiği gerçeğini değiştirmiyor :)bu arada çikolata kremalı ekleri harika millet yarım kilo yedim doyamadım.",6,10,10,pozitif
Harika. Özellikle profiterolü tavsiye ederim.,10,10,10,pozitif
Çok lezzetliydi bundan sonra tatlıcım burası. Not için de teşekkürler çok inceydi :) kurye arkadaşa da ayrıca teşekkürler bu havada olabildiğince hızlı gelmişti.,10,10,10,pozitif
Tam bir fiyasko tat mat yok.,1,1,1,negatif
Tatlı ikramınız için çok teşekkürler. Tüm ürünlerinizi seviyoruz :).,10,10,10,pozitif
Mükemmel. Bagımlısı olduk. Tr ileçe için de teşekkürler.,10,10,10,pozitif
"Yarım kilosunu 25 liraya başka yerden alabildiğim profiterolün 4 topu burada 15tl, joker çıktığı için sipariş verdim ama ekler de çok kötü. Kusura bakmayın ama hiç lezzetli değildi.",8,6,1,nötr
"Harikalar, çok güzel profiterolleri ve yanında bonkorce gonderdıklerı eklerler ıcın tesekkur ederım :).",10,10,10,pozitif
"Profiterol, ev yapımı tadında. Sosu boğazı yakmıyor, toplar kuru değil. Kıbrıs tatlısını daha denemedim, güzele benziyor.",10,10,10,pozitif
Ya o not ne kadar tatlı olmuş öyle çok hoşuma gitti dondurması çok güzel yumuşacık pamuk gibi.,10,10,10,pozitif
Paketten sadece tatlılar çıktı maalesef. Kaşık koyulmamış olmasına inanamadım. Küçük minnoş notun hatırına 2 verdim yoksa bir paketin temel ihtiyacı olan şeyin unutulması kabul edilebilir değil. Hız idare eder. Profiteral su muhallebesi gibiydi tad olarak.,7,2,5,nötr
Profiterol ve kibris tatlisi harika. Not icin ayrica tesekkurler.,10,10,10,pozitif
Hızlı bir servis ve ikramları içinde teşekkür ederiz:).,9,9,9,pozitif
Son iki siparişimde minik minik post-it çizimleri ve notlarıyla pek bir sempatikler. Ufak minik tatlı süprizleri de beraberinde yapıyorlar. Tatlıları zaten efsane profiterolleri çok lezzetli. Teşekkürler elit :).,10,10,10,pozitif
"Harika lezzet, hızlı servis...",10,10,10,pozitif
Tat mükemmel! Servis mükemmel! Keşke herhes sizin gibi olsa!,10,10,10,pozitif
Dondurmalar mükemmel.,8,8,10,pozitif
Gayet hızlı.,10,9,8,pozitif
Çok sevimli not için teşekürler çok :).,10,10,10,pozitif
Dondurmalar muhteşemdi.,10,10,10,pozitif
Hızlı servis için ve harika lezzet için tum ekibe tesekkurler.,10,10,10,pozitif
Notunuz için sağ olun biz çok teşekkür ederiz :)iyi çalışmalar.,10,10,10,pozitif
"Teşekkürler gayet hızlı ve sunum olarak göze hitap eden bir tarzınız var. Özellikle elle yapılan resim ile gönülleri hoş tutan bir tutum var lezzet olarak kıbrıs tatlısı muhteşemdi, peynir tatlısı ortalama, tr amisu ki en sevdiğim keki biraz daha ıslak olursa tadından yenmez :) ellerinize sağlık.",10,10,9,pozitif
Profiterol müthiş başarılı. Elinize sağlık.,10,10,10,pozitif
İkramınız için çok teşekkürler :).,10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
Fiyatlara gore tatlilar cok basarili.,10,10,8,pozitif
İyiydi cidden.,8,8,8,pozitif
Teşekkürler. Ustamın ellerine sağlık. Sosu bi tık daha koyu ve çikolatası biraz daha yoğun olursa tam kıvamına oturu diye düşünüyorum.,10,10,9,pozitif
Çok lezzetli değil ekler.,10,10,6,pozitif
Kusura bakmayın ama profiterol ıskak kek ekler hepsi çok vasattı :( hız ve servis iyi ancak kalite arttırılmalı üzülerek veriyorum bu puanı.,10,10,3,pozitif
Süperdi.,10,10,10,pozitif
"Ürünler çok tazeydi ve özenle paketlenmişti, kurye arkadaş güler yüzlü ve siparişim yeniköye 15 dakikadan az bir sürede geldi teşekkür ederim.",10,10,10,pozitif
Her şey çok güzel.,10,10,10,pozitif
"Seçtiğim üründe profiterol 850 gram 17 top diye geçiyo ama gelen siparişte tam 12 top vardı sosu fazla koyarak gramaj ayarlıyosunuz, ürün yazdığı gibi gelseydi bizde güzel yorumlarda bulunurduk!",6,6,6,nötr
İster dükkandan alın ister burdan sipariş verin her zaman çok taze ve aynı kalitede.,10,10,10,pozitif
Geç geldi ama hepsi çok güzeldi.,3,9,9,pozitif
Çok lezzetli ve taze.,9,10,10,pozitif
